Candidate,Party,Criminal Cases,Education,Age,Constituency,Total Assets,Liabilities
Ramesh Rathod   Winner ,TDP, 2 ,12th Pass,43,Adilabad + Andhra Pradesh,3410000,815241
A Laxman Rao,IND,0,10th Pass,47,Adilabad + Andhra Pradesh,1560000,0
Ade Tukaram,BJP,0,10th Pass,55,Adilabad + Andhra Pradesh,865000,370000
Banka Sahadev,IND,0,Not Given,56,Adilabad + Andhra Pradesh,118000,0
G Pentanna,IND,0,Post Graduate,36,Adilabad + Andhra Pradesh,436000,13000
Kotnak Ramesh,INC,0,12th Pass,39,Adilabad + Andhra Pradesh,2600000,0
Masram Nago Rao,PRAP,0,Post Graduate,59,Adilabad + Andhra Pradesh,350000,0
N Ramdas,IND,0,5th Pass,35,Adilabad + Andhra Pradesh,0,0
Rathod Sadashiv Naik,BSP,0,Graduate,50,Adilabad + Andhra Pradesh,1150000,0
Dr. G. Vivekanand   Winner ,INC,0,Graduate Professional,51,Peddapalle + Andhra Pradesh,729509675,0
A. David Raju,PRAP, 1 ,10th Pass,36,Peddapalle + Andhra Pradesh,1460000,0
A.Kamalamma,IND,0,Not Given,36,Peddapalle + Andhra Pradesh,155000,0
Ambala Mahendar,IND,0,5th Pass,38,Peddapalle + Andhra Pradesh,0,0
B.Mallaiah,IND,0,Not Given,32,Peddapalle + Andhra Pradesh,0,0
D.Ramulu,IND,0,5th Pass,51,Peddapalle + Andhra Pradesh,300000,0
Domasa Srinivas,TRS, 2 ,12th Pass,41,Peddapalle + Andhra Pradesh,4179400,1950000
Gaddala Vinay Kumar,IND,0,8th Pass,51,Peddapalle + Andhra Pradesh,5284500,1050
Gajjela Swamy,BSP,0,10th Pass,49,Peddapalle + Andhra Pradesh,1574000,0
Gorre Ramesh,IND,0,Graduate Professional,42,Peddapalle + Andhra Pradesh,300000,0
K.Rajaswar,IND,0,Not Given,38,Peddapalle + Andhra Pradesh,0,0
Krishna Sabbali,MCPI(S),0,Not Given,39,Peddapalle + Andhra Pradesh,0,30000
Mathangi Narsaiah,BJP,0,Post Graduate,63,Peddapalle + Andhra Pradesh,8914000,7000
