Candidate,Party,Criminal Cases,Education,Age,Constituency,Total Assets,Liabilities
MANORANJAN BHAKTA   Winner ,INC,0,Post Graduate,65,Andaman & Nicobar Islands + Andaman & Nicobar Islands,5926740,272061
A K BISWAS,BSP,0,Graduate,61,Andaman & Nicobar Islands + Andaman & Nicobar Islands,7876500,65000
ASIT BARAN DUTTA,IND,0,Graduate,50,Andaman & Nicobar Islands + Andaman & Nicobar Islands,3070000,0
BISHNU PADA RAY,BJP,0,Graduate,54,Andaman & Nicobar Islands + Andaman & Nicobar Islands,1250619,128710
DEEPAK BISWAS,IND,0,Not Given,28,Andaman & Nicobar Islands + Andaman & Nicobar Islands,3000,0
DR SHANMUGAM,LJNSP,0,Doctorate,66,Andaman & Nicobar Islands + Andaman & Nicobar Islands,6166416,67070
GOUR CHANDRA MAJUMDER,IND,0,Graduate,37,Andaman & Nicobar Islands + Andaman & Nicobar Islands,36200,0
K KALIMUTHU,IND, 1 ,8th Pass,51,Andaman & Nicobar Islands + Andaman & Nicobar Islands,472440,73878
K PERUMAL,SWD,0,Literate,65,Andaman & Nicobar Islands + Andaman & Nicobar Islands,7752141,0
N K P NAIR,CPI(ML)(L),0,Literate,49,Andaman & Nicobar Islands + Andaman & Nicobar Islands,772588,188000
R S UMA BHARATHY,NCP, 1 ,Not Given,40,Andaman & Nicobar Islands + Andaman & Nicobar Islands,59977,35000
TAPAN KUMAR BEPARI,CPM,0,Post Graduate,46,Andaman & Nicobar Islands + Andaman & Nicobar Islands,2435276,0
KILLI KRUPARANI,INC,0,Not Given,0,Srikakulam + Andhra Pradesh,0,0
MYLAPALLI LAKSHMUDU,BSP, 1 ,Post Graduate,36,Srikakulam + Andhra Pradesh,0,0
TAMMINENI JAGANMOHAN RAO,IND,0,Graduate Professional,37,Srikakulam + Andhra Pradesh,100543,0
KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA   Winner ,INC,0,Post Graduate,57,Parvathipuram + Andhra Pradesh,220678000,0
ARIKA GUMPASWAMY,IND,0,Not Given,55,Parvathipuram + Andhra Pradesh,442000,0
DADICHILUKA VEERA GOURI SANKARA RAO,TDP,0,Doctorate,35,Parvathipuram + Andhra Pradesh,921000,0
UOOYAKA MUTYALU,IND,0,8th Pass,32,Parvathipuram + Andhra Pradesh,20000,0
KONDAPALLI PYDITHALLI NAIDU   Winner ,TDP,0,Not Given,73,Bobbili + Andhra Pradesh,1979000,50000
G.VENKATESH,TRS,0,Graduate,47,Bobbili + Andhra Pradesh,38000,0
JHANSI BOTCHA,INC,0,Post Graduate,40,Bobbili + Andhra Pradesh,25900500,0
PEDDINTI JAGANMOHAN RAO,IND,0,Others,0,Bobbili + Andhra Pradesh,5988503,97000
JANARDHANA REDDY NEDURUMALLI   Winner ,INC,0,Graduate Professional,69,Visakhapatnam + Andhra Pradesh,10916531,11212
APPARAO GUDIVADA,IND,0,Not Given,63,Visakhapatnam + Andhra Pradesh,226200,0
BHARANIKANA RAMA RAO,IND,0,Post Graduate,0,Visakhapatnam + Andhra Pradesh,9912102,0
DR.M.V.V.S.MURTHY,TDP,0,Not Given,65,Visakhapatnam + Andhra Pradesh,27339275,0
KOLAVENTI SUNDARA RAO,BSP,0,Graduate Professional,64,Visakhapatnam + Andhra Pradesh,0,0
MAMIDI SOMUNAIDU,RJD,0,Not Given,67,Visakhapatnam + Andhra Pradesh,0,0
S.V.B.REDDY,IND,0,Post Graduate,57,Visakhapatnam + Andhra Pradesh,1662000,0
SATYANARAYANA MACHIRAJU,IND,0,Graduate,60,Visakhapatnam + Andhra Pradesh,7220000,0
VAMSI KIRAN.B,PPOI,0,Not Given,28,Visakhapatnam + Andhra Pradesh,10000,0
MIDIYAM BABU RAO   Winner ,CPM,0,Graduate Professional,52,Bhadrachalam + Andhra Pradesh,542000,130000
JANNI APPA RAO,BSP,0,12th Pass,30,Bhadrachalam + Andhra Pradesh,100000,0
SMT.KPRK PHANEESWARAMMA,TDP,0,Others,39,Bhadrachalam + Andhra Pradesh,2941913,42000
CHALAPATHIRAO PAPPALA   Winner ,TDP,0,Graduate,58,Anakapalli + Andhra Pradesh,5396505,246000
NANDA GOPAL GANDHAM,INC,0,Not Given,0,Anakapalli + Andhra Pradesh,0,0
MUDRAGADA PADMANABHAM,TDP,0,Not Given,0,Kakinada + Andhra Pradesh,0,0
NAINALASETTI MURTHY,CPI(ML)(L),0,Not Given,51,Kakinada + Andhra Pradesh,900000,562000
ARUNA KUMAR VUNDAVALLI   Winner ,INC, 2 ,Graduate Professional,50,Rajahmundry + Andhra Pradesh,23431318,881017
DUGGIREDDY DHARMA REDDY,IND,0,Not Given,0,Rajahmundry + Andhra Pradesh,59500,0
