Candidate,Party,Criminal Cases,Education,Age,Constituency,Total Assets,Liabilities
Ahanthem Shanjoy Singh,JD(U),0,Graduate,46,Kumbi + Bishnupur,1586500,0
Dr. Khangembam Romesh Singh,INC,0,Doctorate,45,Kumbi + Bishnupur,11876024,3829054
Naorem Sorojini Devi,IND,0,12th Pass,43,Kumbi + Bishnupur,318125,0
Ningthoujam Mangi Singh,NPP,0,Graduate,71,Kumbi + Bishnupur,39677409,0
Sanasam Premchandra Singh,BJP,0,12th Pass,46,Kumbi + Bishnupur,15644103,0
Birla Haobijam,INC,0,Post Graduate,44,Thanga + Bishnupur,10497129,2488206
Tongbram Robindro Singh,BJP, 4 ,12th Pass,49,Thanga + Bishnupur,3805616,482830
Mairembam Prithviraj Singh,BJP, 1 ,Post Graduate,41,Moirang + Bishnupur,56567797,6618682
Pukhrem Sharatchandra Singh,INC,0,Post Graduate,71,Moirang + Bishnupur,21904693,1369181
Thongam Shanti Singh,NPP,0,12th Pass,61,Moirang + Bishnupur,72583157,0
Konthoujam Govindas Singh,BJP,0,Graduate,56,Bishenpur + Bishnupur,83217094,3093815
Ningthoujam Joykumar Singh,INC,0,Graduate Professional,65,Bishenpur + Bishnupur,18589854,0
Oinam Nabakishore Singh,JD(U), 1 ,Post Graduate,62,Bishenpur + Bishnupur,23775460,8000000
Ashem Babu Singh,SHS,0,Graduate,49,Oinam + Bishnupur,2150450,0
Irengbam Nalini Devi,NPP,0,Graduate,61,Oinam + Bishnupur,21995301,0
Laishram Radhakishore Singh,BJP,0,12th Pass,65,Oinam + Bishnupur,12347051,2750100
Laitonjam Brojen Singh,Republican Party of India (Athawale),0,Graduate Professional,52,Oinam + Bishnupur,2264814,0
Ngangom Shivakumar Singh,IND,0,Graduate Professional,27,Oinam + Bishnupur,62000,0
Thingbaijam Swarankumar Singh,JD(U),0,Post Graduate,49,Oinam + Bishnupur,12597969,2080825
Thokchom Ithoibi Devi,INC,0,12th Pass,41,Oinam + Bishnupur,3639250,1818291
Nameirakpam Loken Singh,INC,0,Graduate,53,Nambol + Bishnupur,96729137,507311
Thounaojam Basanta Kumar Singh,BJP,0,Post Graduate,57,Nambol + Bishnupur,43298602,3953237
D. Korungthang,NPF,0,Graduate,60,Tengnoupal (St) + Chandel,12776193,2850060
Jamkholun Haokip,IND, 1 ,10th Pass,56,Tengnoupal (St) + Chandel,610000,0
Kh. David Maring,Republican Party of India (Athawale),0,10th Pass,56,Tengnoupal (St) + Chandel,0,0
Letpao Haokip,BJP,0,Graduate,45,Tengnoupal (St) + Chandel,42742519,11739011
Tantanga Kohai Moshilpha,IND,0,Graduate Professional,54,Tengnoupal (St) + Chandel,11724801,1078703
Wairok Morung Makunga,INC,0,Graduate,62,Tengnoupal (St) + Chandel,7513144,1158734
Langhu Paulhring Anal,NPF,0,Post Graduate,47,Chandel (St) + Chandel,7050000,0
Ss. Olish,BJP,0,Graduate,44,Chandel (St) + Chandel,9575361,0
Chinlunthang,Kuki Peoples Aliance,0,Graduate Professional,46,Singhat (St) + Churachandpur,4519743,0
Ginsuanhau Zou,BJP,0,5th Pass,62,Singhat (St) + Churachandpur,36975560,2800080
T. Hangkhanpau,JD(U),0,Post Graduate,58,Singhat (St) + Churachandpur,4221002,881895
Tuankhan Kiamlo Hangzo,INC,0,Graduate,61,Singhat (St) + Churachandpur,9723969,227358
George T. Haokip,NCP, 1 ,Doctorate,41,Saikot (St) + Churachandpur,2504664,796993
John H Pulamte,JD(U),0,Doctorate,52,Saikot (St) + Churachandpur,10055204,553715
John Mk Thang,IND,0,Graduate,51,Saikot (St) + Churachandpur,200000,0
Joshua Thiek,Kuki National Assembly,0,Post Graduate,43,Saikot (St) + Churachandpur,1824464,0
Karong Onkholer,IND,0,Post Graduate,42,Saikot (St) + Churachandpur,36190495,0
Khaipao Haokip,NPP,0,10th Pass,64,Saikot (St) + Churachandpur,21857516,900050
Paolienlal Haokip,BJP,0,Post Graduate,47,Saikot (St) + Churachandpur,9408143,0
T. N Haokip,INC,0,Graduate,71,Saikot (St) + Churachandpur,48224555,3190517
Dr. Jainson Haokip D.D.,Kuki National Assembly,0,Graduate,74,Churachandpur (St) + Churachandpur,8303749,0
H. Mangchinkhup Paite,INC,0,Graduate Professional,56,Churachandpur (St) + Churachandpur,21550935,0
H.Lianchinthang,Lok Janshakti Party(Ram Vilas),0,12th Pass,60,Churachandpur (St) + Churachandpur,2550000,0
