Candidate,Party,Criminal Cases,Education,Age,Constituency,Total Assets,Liabilities
Barindermeet Singh Pahra   Winner ,INC,0,Others,41,Gurdaspur + Gurdaspur,18528272,8545085
Deepak Sharma,IND,0,10th Pass,41,Gurdaspur + Gurdaspur,36000,0
Gurbachan Singh Babehali,SAD, 3 ,10th Pass,67,Gurdaspur + Gurdaspur,84344610,24700000
Gurpreet Singh,IND,0,12th Pass,36,Gurdaspur + Gurdaspur,5200000,1580000
Inderpal Singh,Sanyukt Sangharsh Party, 2 ,12th Pass,31,Gurdaspur + Gurdaspur,6381000,1075000
Jagdish Masih,IND,0,10th Pass,47,Gurdaspur + Gurdaspur,2500000,0
Karandeep Singh,IND,0,12th Pass,34,Gurdaspur + Gurdaspur,27183492,3900000
Paramjeet Singh,IND,0,8th Pass,54,Gurdaspur + Gurdaspur,1156500,0
Parminder Singh Gill,BJP,0,Graduate,47,Gurdaspur + Gurdaspur,1114482,0
Raman Bahl,AAP,0,Graduate Professional,64,Gurdaspur + Gurdaspur,311337697,3167760
Simranjit Singh Maan,Punjab Kisan Dal,0,Graduate,26,Gurdaspur + Gurdaspur,687025,0
Sunny,IND,0,12th Pass,32,Gurdaspur + Gurdaspur,1900000,0
Sunny Gill,IND,0,12th Pass,28,Gurdaspur + Gurdaspur,1506175,0
Aruna Chaudhary   Winner ,INC,0,Graduate Professional,64,Dina Nagar (Sc) + Gurdaspur,77967790,0
Kamaljeet Chawla,BSP,0,10th Pass,51,Dina Nagar (Sc) + Gurdaspur,19659104,890939
Kulwant Singh,IND,0,10th Pass,60,Dina Nagar (Sc) + Gurdaspur,10405165,0
Renu Kashyap,BJP,0,Post Graduate,47,Dina Nagar (Sc) + Gurdaspur,8273186,0
Shamsher Singh,AAP, 2 ,Graduate,59,Dina Nagar (Sc) + Gurdaspur,30293590,1322477
Partap Singh Bajwa   Winner ,INC,0,Graduate,65,Qadian + Gurdaspur,369119618,10256481
Amarpartap Singh,IND,0,Graduate,27,Qadian + Gurdaspur,5661844,2000000
Dr. Farooq Masih,Peoples Party of India (Democratic), 2 ,10th Pass,38,Qadian + Gurdaspur,2652000,0
Guriqbal Singh Mahal,SAD, 4 ,12th Pass,50,Qadian + Gurdaspur,131103696,41573569
Hardip Singh,Nationalist Justice Party, 1 ,10th Pass,42,Qadian + Gurdaspur,1821904,400000
Jagroop Singh Sekhwan,AAP, 2 ,Graduate Professional,34,Qadian + Gurdaspur,17898340,0
Jaspal Singh,IND,0,12th Pass,36,Qadian + Gurdaspur,1100000,0
Jatinderbir Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),0,10th Pass,38,Qadian + Gurdaspur,12003500,1395000
Master Johar Singh,Shiromani Akali Dal (Sanyukt),0,10th Pass,77,Qadian + Gurdaspur,50612714,188432
Mohnit Singh,IND,0,12th Pass,35,Qadian + Gurdaspur,10787500,0
Prem Singh,IND,0,10th Pass,42,Qadian + Gurdaspur,1202000,0
Rajwinder Singh,IND,0,12th Pass,36,Qadian + Gurdaspur,20531500,0
Amansher Singh (Shery Kalsi)   Winner ,AAP,0,10th Pass,34,Batala + Gurdaspur,38994784,1161530
Ashwani Kumar,IND,0,10th Pass,36,Batala + Gurdaspur,2032400,1300
Ashwani Sekhri,INC,0,Graduate Professional,62,Batala + Gurdaspur,104377360,37462464
Balwinder Singh,IND,0,8th Pass,41,Batala + Gurdaspur,27720000,0
