Candidate,Party,Criminal Cases,Education,Age,Constituency,Total Assets,Liabilities
Babli Bhaskar Naik,SHS,0,Graduate,31,Mandrem + North Goa,1784035,1099350
D Costa Maria,Sambhaji Brigade Party, 1 ,Post Graduate,45,Mandrem + North Goa,147854586,19889098
Dayanand Raghunath Sopte,BJP,0,Graduate,57,Mandrem + North Goa,60422593,7808850
Deepak Bhalchandra Kalangutkar,Goa Forward Party,0,10th Pass,49,Mandrem + North Goa,2285250,800000
Jit Vinayak Arolkar,Maharashtrawadi Gomantak, 2 ,10th Pass,40,Mandrem + North Goa,116993900,31045680
Laxmikant Parsekar,IND,0,Post Graduate,65,Mandrem + North Goa,89721507,3669645
Prasad K. Shahapurkar,AAP, 1 ,Graduate Professional,45,Mandrem + North Goa,2076722,0
Satish Sitaram Shetgaonkar,IND, 1 ,10th Pass,53,Mandrem + North Goa,31313469,4438575
Sunayana Rajanikant Gawde,Revolutionary Goans Party,0,Post Graduate,32,Mandrem + North Goa,1808023,227231
Gurudas Virnodkar,IND,0,8th Pass,47,Pernem (Sc) + North Goa,75000,332525
Jitendra Yeshwant Gaonkar,INC, 2 ,Graduate Professional,36,Pernem (Sc) + North Goa,1769766,291532
Kamlakar Shankar Gadkar,IND,0,5th Pass,60,Pernem (Sc) + North Goa,9614165,1490000
Pravin Prabhakar Arlekar,BJP,0,8th Pass,47,Pernem (Sc) + North Goa,47332007,4716144
Pundalik Dhargalkar,AAP,0,8th Pass,51,Pernem (Sc) + North Goa,1457000,447000
Rajan Babuso Korgaonkar,Maharashtrawadi Gomantak, 1 ,Graduate,57,Pernem (Sc) + North Goa,42441623,12898976
Subhash Barkelo Kerkar,SHS,0,Others,52,Pernem (Sc) + North Goa,33294485,4105302
Sujay D. Mhapsekar,Revolutionary Goans Party,0,12th Pass,28,Pernem (Sc) + North Goa,195372,145141
Vishnudas Korgaonkar,IND, 1 ,12th Pass,46,Pernem (Sc) + North Goa,59097530,0
Anish Avinash Naik,Revolutionary Goans Party, 1 ,Graduate,32,Bicholim + North Goa,659513,0
Dr. Chandrakant Shetye,IND,0,Post Graduate,50,Bicholim + North Goa,596301413,34355590
Meghashyam Vaman Raut,INC, 7 ,Others,47,Bicholim + North Goa,93799566,3148789
Naresh Rajaram Sawal,Maharashtrawadi Gomantak,0,12th Pass,56,Bicholim + North Goa,150504810,38175962
Rajesh Tulshidas Patnekar,BJP,0,12th Pass,58,Bicholim + North Goa,14947177,94780
Aman Lotlikar,INC,0,Others,44,Tivim + North Goa,79430454,3069617
Godfrey D Lima,NCP, 5 ,12th Pass,39,Tivim + North Goa,2083932,169657
Kavita Kandolkar,AITC,0,10th Pass,45,Tivim + North Goa,109806191,64080338
Nilkanth Ramnath Halarnkar,BJP,0,10th Pass,61,Tivim + North Goa,82148820,7225766
Swapnesh Bhanudas Sherlekar,Goencho Swabhiman Party,0,Others,38,Tivim + North Goa,2203091,718170
Tukaram Bharat Parab,Revolutionary Goans Party, 4 ,Post Graduate,37,Tivim + North Goa,435000,0
Udai Salkar,AAP,0,Graduate,59,Tivim + North Goa,9216487,1157887
Jitesh Jivaji Kamat,SHS, 2 ,Others,43,Mapusa + North Goa,20406176,764427
Joshua Peter De Souza,BJP,0,Graduate,33,Mapusa + North Goa,41597663,3292761
Neeta Paresh Khanvilkar,IND,0,12th Pass,39,Mapusa + North Goa,16054674,3413213
Rahul Mhambre,AAP,0,Others,50,Mapusa + North Goa,33143290,3098240
Rohan Salgaonkar,Revolutionary Goans Party,0,12th Pass,27,Mapusa + North Goa,328119,586358
Sudesh Digamber Hasotikar,IND,0,Literate,59,Mapusa + North Goa,3479700,0
Sudhir Rama Kandolkar,INC, 1 ,10th Pass,64,Mapusa + North Goa,45567880,5333191
Tarak Arolkar,AITC, 1 ,Graduate Professional,42,Mapusa + North Goa,34719258,20029101
Anil Vaman Kerkar,IND,0,8th Pass,53,Siolim + North Goa,243000,0
Charisma Fernandes,SHS,0,Graduate,37,Siolim + North Goa,11911975,0
Dattaram Pednekar,IND,0,8th Pass,57,Siolim + North Goa,43046914,2121158
Dayanand Rayu Mandrekar,BJP,0,10th Pass,65,Siolim + North Goa,60559707,2359200
Delilah Michael Lobo,INC, 2 ,Graduate,44,Siolim + North Goa,929101865,288735436
Diana Fernandes,Sambhaji Brigade Party,0,Graduate,39,Siolim + North Goa,4511360,2933085
Gauresh Mandrekar,Revolutionary Goans Party,0,Graduate Professional,28,Siolim + North Goa,251700,133000
