Candidate,Party,Criminal Cases,Education,Age,Constituency,Total Assets,Liabilities
Madan Singh Bisht   Winner ,INC,0,Graduate Professional,59,Dwarahat + Almora,10223000,150000
Anand Ballabh,BSP,0,10th Pass,55,Dwarahat + Almora,1287000,50000
Anil Singh Shahi,BJP,0,Graduate,39,Dwarahat + Almora,10950000,2743664
Bhupal Singh,IND,0,10th Pass,44,Dwarahat + Almora,4409418,300000
Dr. Pramod Kumar,Peoples Party of India (Democratic),0,Doctorate,46,Dwarahat + Almora,1030000,170000
Ganesh Chandra,SP,0,Graduate,43,Dwarahat + Almora,13259000,3650000
Naveen Chandra Joshi,IND,0,12th Pass,71,Dwarahat + Almora,130000,0
Prakash Chandra,AAP,0,Post Graduate,65,Dwarahat + Almora,4460000,900000
Pushpesh Tripathi,UKD,0,Post Graduate,42,Dwarahat + Almora,9103282,0
Rajendra Singh,IND,0,12th Pass,55,Dwarahat + Almora,1366185,0
Mahesh Jeena   Winner ,BJP, 2 ,Graduate,55,Salt + Almora,33257573,0
Bhole Shankar Arya (Advocate),BSP,0,Graduate Professional,35,Salt + Almora,1145000,0
Bhupendra Singh,SP,0,Post Graduate,44,Salt + Almora,67000,0
Jagdish Chandra,Uttarakhand Parivartan Party,0,12th Pass,38,Salt + Almora,1585000,0
Lalit Mohan Singh,IND,0,Graduate,37,Salt + Almora,70000,0
Rakesh Nath,UKD,0,Graduate,40,Salt + Almora,526600,0
Ranjeet Singh Rawat,INC, 1 ,10th Pass,62,Salt + Almora,39949380,11231537
Surendra Singh,IND,0,Graduate,44,Salt + Almora,3205654,140000
Suresh Bisht,AAP,0,Graduate,73,Salt + Almora,53923255,0
Pramod Nainwal   Winner ,BJP,0,Doctorate,50,Ranikhet + Almora,57084260,2500000
Deepak Kargeti,IND,0,Graduate,29,Ranikhet + Almora,136076,0
Karan Mahara,INC,0,Graduate Professional,49,Ranikhet + Almora,25871061,3376521
Manoj Kumar,BSP,0,12th Pass,49,Ranikhet + Almora,1280000,46000
