Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Brijesh,BJP, 1 ,Graduate,57,12285445,1285000
Choudhary Rajendra Singh,BSP,0,Graduate,62,70767903,4766666
Jaheer,Jansatta Party, 2 ,Illiterate,50,4320000,200000
Kartikey Rana,SP, 6 ,Graduate Professional,29,127777066,0
Naushad,Sanyukt Vikas Party,0,Literate,35,349100,0
Praveen Kumar Dhiman,AAP,0,Others,43,18258000,0
Rahat Khalil,INC, 1 ,Post Graduate,58,30278811,950000
Umair Madani,All India Majlis-E-Ittehadul Muslimeen,0,12th Pass,26,305000,0
Vijendra,IND,0,Literate,60,13846507,2400000
Yogesh Pratap Singh,Aazad Samaj Party (Kanshi Ram),0,Graduate Professional,40,70736000,3800000
