Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Ali Khan,IND, 1 ,10th Pass,31,23542241,0
Dharam Pal Singh,IND,0,Graduate,46,5565000,0
Mo. Ikram,IND,0,5th Pass,47,2481845,200000
Naresh Saini,BJP,0,Post Graduate,57,29506003,5779181
Poonam Kamboj,INC,0,Post Graduate,36,13552777,1800000
Rais Malik,BSP,0,8th Pass,54,43452000,0
Sushil Kumar,AAP,0,10th Pass,38,2409500,0
Umar Ali Khan,SP, 1 ,Post Graduate,44,58038001,1406216
Ashish Tyagi,AAP,0,Graduate,25,515000,0
Atul Kumar,Inqalab Vikas Dal,0,5th Pass,36,60000,0
Devendra Chauhan,Aamjan Ekta Party,0,Graduate,59,33058000,1800000
Dr. Dharam Singh Saini,SP,0,Graduate Professional,65,123978270,12004374
Mukesh Choudhary,BJP, 3 ,Graduate,47,29878370,1501446
Nahid Latif,Lok Dal,0,Graduate Professional,29,1701250,2927000
Nitin Kumar,Jai Maha Bharath Party,0,12th Pass,28,2100000,0
Randheer Singh,INC,0,12th Pass,54,6137894,65280
Rizwana,All India Majlis-E-Ittehadul Muslimeen,0,8th Pass,41,18455913,2000000
Sahil Khan,BSP,0,Post Graduate,38,53888300,2464773
Sonu Kumar,Aazad Samaj Party (Kanshi Ram),0,Graduate,40,16918235,3994188
Avtar Singh,Akhand Bharat Vikas Party, 3 ,8th Pass,51,13520584,0
Kamrooddin,Sanyukt Vikas Party, 2 ,Literate,41,170200,0
Manish,BSP,0,5th Pass,35,59095701,7837958
Mansoor Ahmed,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,46,27883759,6971003
Pulkit Thakral,IND,0,12th Pass,31,2197067,499070
Rajeev Gumber,BJP, 4 ,12th Pass,52,24057257,0
Rita,Bahujan Mukti Party,0,Literate,41,585000,0
Salloudeen Raja,Lok Dal,0,Literate,34,5369037,405026
Sanjay Garg,SP, 2 ,Graduate Professional,64,87857669,550769
Sanjay Kumar,IND,0,Doctorate,46,3638147,4000000
